Time(S);YoungBefore(KB);YoungAfter(KB);YoungAllocated(KB);OldBefore(KB);OldAfter(KB);OldAllocated(KB);OldYoungBefore(KB);OldYoungAfter(KB);OldYoungAllocated(KB);PermBefore(KB);PermAfter(KB);PermAllocated(KB);TotalBefore(KB);TotalAfter(KB);TotalAllocated(KB)
125315,307;160064;5141;166912;580210;580586;648192;740274;585727;815104;;;;;;
125334,572;164373;1311;166912;580586;581627;648192;744959;582938;815104;;;;;;
125355,375;160031;992;166912;581627;582041;648192;741658;583033;815104;;;;;;
125378,512;159712;5492;166400;582041;582394;648192;741753;587886;814592;;;;;;
125384,709;164212;800;166912;582394;583417;648192;746606;584217;815104;;;;;;
125401,721;159520;832;166912;583417;583554;648192;742937;584386;815104;;;;;;
125423,763;159552;3268;166912;583554;583906;648192;743106;587174;815104;;;;;;
125479,720;161988;800;167424;583906;584793;648192;745894;585593;815616;;;;;;
125490,204;160544;3269;167424;584793;585234;648192;745337;588503;815616;;;;;;
125502,438;163013;6313;165888;585234;585618;648192;748247;591931;814080;;;;;;
125654,246;165033;4577;163328;585618;586790;648192;750651;591367;811520;;;;;;
125681,309;163297;3220;166912;586790;587896;648192;750087;591116;815104;;;;;;
125690,976;161428;832;166400;587896;588768;648192;749324;589600;814592;;;;;;
125746,642;159040;2558;167424;588768;589048;648192;747808;591606;815616;;;;;;
125777,402;161790;5135;166912;589048;589632;648192;750838;594767;815104;;;;;;
125904,554;164367;4433;166400;589632;591604;648192;753999;596037;814592;;;;;;
125926,702;163153;5844;164864;591604;593380;648192;754757;599224;813056;;;;;;
125945,170;164564;4367;166912;593380;594311;648192;757944;598678;815104;;;;;;
125960,068;162575;3380;166400;594311;595263;648192;756886;598643;814592;;;;;;
125979,547;161588;6160;165888;595263;595783;648192;756851;601943;814080;;;;;;
125987,050;163735;929;166400;595783;597015;648192;759518;597944;814592;;;;;;
126008,623;158625;3481;166912;597015;597239;648192;755640;600720;815104;;;;;;
126022,663;161689;2916;166400;597239;598052;648192;758928;600968;814592;;;;;;
126077,133;161124;2735;167424;598052;598540;648192;759176;601275;815616;;;;;;
126151,907;162479;4639;167424;598540;599164;648192;761019;603803;815616;;;;;;
126218,304;164362;3341;167936;599163;600356;648192;763525;603697;816128;;;;;;
126241,689;163597;1759;167424;600356;601348;648192;763953;603107;815616;;;;;;
126294,771;162015;3327;168448;601348;602139;648192;763363;605466;816640;;;;;;
126388,342;164607;640;167936;602139;603235;648192;766746;603875;816128;;;;;;
126463,687;161920;736;167424;603235;603234;648192;765155;603970;815616;;;;;;
126482,881;161504;928;167936;603234;603235;648192;764738;604163;816128;;;;;;
126506,284;161696;1568;168448;603235;603235;648192;764931;604803;816640;;;;;;
126559,561;163360;3139;168448;603235;603459;648192;766595;606598;816640;;;;;;
126600,542;164931;6424;166400;603459;603459;648192;768390;609883;814592;;;;;;
126613,704;166168;3407;167424;603459;603651;648192;769627;607058;815616;;;;;;
126688,367;163151;3407;167936;603651;604067;648192;766802;607474;816128;;;;;;
126734,593;164175;4930;167936;604067;605146;648192;768242;610076;816128;;;;;;
126776,109;165698;2208;167936;605146;606178;648192;770844;608386;816128;;;;;;
126840,538;162976;5150;166400;606178;606803;648192;769154;611953;814592;;;;;;
126889,944;165918;3455;167936;606803;607170;648192;772721;610625;816128;;;;;;
127000,592;163711;2835;167424;607170;607171;648192;770881;610006;815616;;;;;;
127032,962;163091;5172;167424;607171;607170;648192;770262;612342;815616;;;;;;
127094,110;165940;7143;167936;607170;607654;648192;773110;614797;816128;;;;;;
127129,578;167911;7159;163328;607654;609231;648192;775565;616390;811520;;;;;;
127153,383;163319;8255;164864;609231;609879;648192;772550;618134;813056;;;;;;
127403,253;164415;3046;164864;609879;611252;648192;774294;614298;813056;;;;;;
127433,026;157670;3008;164864;611252;612323;648192;768922;615331;813056;;;;;;
127465,097;157632;2147;164864;612323;612619;648192;769955;614766;813056;;;;;;
127512,633;156771;6246;164864;612619;613130;648192;769390;619376;813056;;;;;;
127535,924;160870;2033;164864;613130;613475;648192;774000;615508;813056;;;;;;
127552,459;156657;1057;164864;613475;614715;648192;770132;615772;813056;;;;;;
127588,385;155681;720;165376;614715;615098;648192;770396;615818;813568;;;;;;
127754,166;155856;4015;164864;615098;615466;648192;770954;619481;813056;;;;;;
127775,333;159151;3208;165888;615466;616080;648192;774617;619288;814080;;;;;;
127816,506;159368;2432;165376;616080;616992;648192;775448;619424;813568;;;;;;
127837,568;158592;1010;166400;616992;617440;648192;775584;618450;814592;;;;;;
127853,710;158706;993;166400;617440;617608;648192;776146;618601;814592;;;;;;
127964,549;150689;944;166912;617608;617968;648192;768297;618912;815104;;;;;;
127964,564;944;0;166912;617968;538218;648192;618912;538218;815104;187876;185282;786432;806788;723500;1601536
128018,297;158147;1891;166400;538219;538219;648192;696366;540110;814592;;;;;;
128044,924;160099;4041;167424;538219;538796;648192;698318;542837;815616;;;;;;
128067,087;163785;1059;167424;538796;540181;648192;702581;541240;815616;;;;;;
128087,316;160803;1808;167936;540181;540517;648192;700984;542325;816128;;;;;;
128102,178;162064;768;167424;540517;540813;648192;702581;541581;815616;;;;;;
128130,875;161024;2656;168448;540813;540909;648192;701837;543565;816640;;;;;;
128177,954;163936;946;167936;540909;542085;648192;704845;543031;816128;;;;;;
128206,860;162226;3603;168448;542085;542293;648192;704311;545896;816640;;;;;;
128259,508;165395;1184;168448;542293;543356;648192;707688;544540;816640;;;;;;
128288,774;162976;928;168448;543356;543892;648192;706332;544820;816640;;;;;;
128315,828;162720;972;168448;543892;544188;648192;706612;545160;816640;;;;;;
128332,870;162764;2144;169472;544188;544252;648192;706952;546396;817664;;;;;;
128361,948;165472;3964;168960;544252;546073;648192;709724;550037;817152;;;;;;
128424,526;167292;2352;169472;546073;546750;648192;713365;549102;817664;;;;;;
128511,208;165680;640;168960;546750;547655;648192;712430;548295;817152;;;;;;
128528,864;163968;4899;167424;547655;547728;648192;711623;552627;815616;;;;;;
128554,716;166691;1248;168448;547728;549025;648192;714419;550273;816640;;;;;;
128566,026;163040;1024;168960;549025;549610;648192;712065;550634;817152;;;;;;
128607,900;163840;2352;168960;549610;550089;648192;713450;552441;817152;;;;;;
128659,335;165168;4223;168448;550089;550329;648192;715257;554552;816640;;;;;;
128681,109;167039;1281;168960;550329;551473;648192;717368;552754;817152;;;;;;
128707,569;164097;1138;168960;551473;551737;648192;715570;552875;817152;;;;;;
128715,720;163954;1024;168960;551737;552121;648192;715691;553145;817152;;;;;;
128757,163;163840;3660;168448;552121;552481;648192;715961;556141;816640;;;;;;
128793,310;166476;4500;167424;552481;553376;648192;718957;557876;815616;;;;;;
128871,525;167316;1264;168960;553376;553928;648192;720692;555192;817152;;;;;;
128892,709;163568;2049;168448;553928;554344;648192;717496;556393;816640;;;;;;
128921,100;164353;5295;167936;554344;554929;648192;718697;560224;816128;;;;;;
128934,144;167087;3264;168448;554929;556203;648192;722016;559467;816640;;;;;;
128982,948;165056;2336;168960;556203;557070;648192;721259;559406;817152;;;;;;
129003,901;164640;2507;168448;557070;557652;648192;721710;560159;816640;;;;;;
129014,766;164811;2206;169472;557652;559582;648192;722463;561788;817664;;;;;;
129022,436;165534;896;168960;559582;560330;648192;725116;561226;817152;;;;;;
129142,354;164224;4284;168448;560330;560611;648192;724554;564895;816640;;;;;;
129153,961;167100;1186;168960;560611;561555;648192;727711;562741;817152;;;;;;
129160,149;164002;6129;166912;561555;561877;648192;725557;568006;815104;;;;;;
129177,502;166897;4500;167936;561877;562934;648192;728774;567434;816128;;;;;;
129193,824;165268;1228;167936;562934;564462;648192;728202;565690;816128;;;;;;
129202,551;161996;2512;167936;564462;564934;648192;726458;567446;816128;;;;;;
129209,940;163280;896;168448;564934;566079;648192;728214;566975;816640;;;;;;
129225,733;162688;4092;165888;566079;566336;648192;728767;570428;814080;;;;;;
129240,160;165884;3452;168448;566336;566853;648192;732220;570305;816640;;;;;;
129255,995;164732;5340;167936;566853;567390;648192;731585;572730;816128;;;;;;
129290,827;166620;2384;167936;567390;567847;648192;734010;570231;816128;;;;;;
129307,544;163152;4769;167936;567847;568406;648192;730999;573175;816128;;;;;;
129314,157;165537;4728;166912;568406;569551;648192;733943;574279;815104;;;;;;
129324,050;164472;5343;167424;569551;570752;648192;734023;576095;815616;;;;;;
129345,895;165087;2032;167424;570752;572528;648192;735839;574560;815616;;;;;;
129353,642;161776;3556;167424;572528;573015;648192;734304;576571;815616;;;;;;
129366,789;163300;608;166912;573015;574535;648192;736315;575143;815104;;;;;;
129389,809;160335;880;167424;574535;574823;648192;734870;575703;815616;;;;;;
129401,832;160624;4259;167424;574823;575168;648192;735447;579427;815616;;;;;;
129463,012;164003;3909;167424;575168;576528;648192;739171;580437;815616;;;;;;
129473,966;163653;1312;167936;576528;577916;648192;740181;579228;816128;;;;;;
129506,592;161568;3188;167424;577916;578044;648192;739484;581232;815616;;;;;;
129527,700;163444;1152;167936;578044;579111;648192;741488;580263;816128;;;;;;
129561,110;161920;2448;167936;579111;579591;648192;741031;582039;816128;;;;;;
129587,133;163216;3684;168448;579591;580048;648192;742807;583732;816640;;;;;;
129616,347;165476;4091;168448;580048;580472;648192;745524;584563;816640;;;;;;
129641,160;165883;2896;168960;580476;581495;648192;746359;584391;817152;;;;;;
129673,558;165200;1538;168448;581495;582311;648192;746695;583849;816640;;;;;;
129688,410;163842;784;168960;582311;582687;648192;746153;583471;817152;;;;;;
129720,278;163600;5697;168960;582687;582983;648192;746287;588680;817152;;;;;;
129763,390;168513;3425;167936;582983;583667;648192;751496;587092;816128;;;;;;
129784,692;165217;1332;168448;583667;584691;648192;748884;586023;816640;;;;;;
129802,905;163124;3008;168448;584691;585099;648192;747815;588107;816640;;;;;;
129817,973;164794;3214;168448;585099;585579;648192;749893;588793;816640;;;;;;
129835,807;165006;3715;168960;585579;586435;648192;750585;590150;817152;;;;;;
129849,787;166531;992;168960;586435;587937;648192;752966;588929;817152;;;;;;
129865,915;163808;3284;168960;587937;588242;648192;751745;591526;817152;;;;;;
129889,895;166100;5212;168448;588242;588970;648192;754342;594182;816640;;;;;;
129903,905;168028;1232;168448;588970;590362;648192;756998;591594;816640;;;;;;
129917,645;163024;3380;168448;590362;590770;648192;753386;594150;816640;;;;;;
129941,245;165172;3056;168960;590770;591530;648192;755942;594586;817152;;;;;;
129973,162;165013;3680;168448;591530;592450;648192;756543;596130;816640;;;;;;
130040,477;165984;2964;168960;592450;592986;648192;758434;595950;817152;;;;;;
130064,949;165780;3683;168960;592986;593563;648192;758766;597246;817152;;;;;;
130076,769;166499;5773;167936;593563;594348;648192;760062;600121;816128;;;;;;
130096,318;167565;1248;168448;594348;595580;648192;761913;596828;816640;;;;;;
130141,598;163040;2836;168448;595580;596229;648192;758620;599065;816640;;;;;;
130178,664;164628;4368;168448;596229;596741;648192;760857;601109;816640;;;;;;
130184,690;166160;1056;168448;596741;598124;648192;762901;599180;816640;;;;;;
130193,472;162848;3140;168448;598124;598564;648192;760972;601704;816640;;;;;;
130208,996;164932;2260;168960;598564;599596;648192;763496;601856;817152;;;;;;
130238,179;165076;3204;168960;599596;600052;648192;764672;603256;817152;;;;;;
130260,267;166020;912;168960;600052;601228;648192;766072;602140;817152;;;;;;
130278,839;163728;1176;168960;601228;601500;648192;764956;602676;817152;;;;;;
130310,802;163992;576;168960;601500;601868;648192;765492;602444;817152;;;;;;
130319,409;163326;2425;168960;601869;602101;648192;765195;604526;817152;;;;;;
130344,418;165241;1025;169472;602101;602300;648192;767342;603325;817664;;;;;;
130399,187;164865;1872;169472;602300;602628;648192;767165;604500;817664;;;;;;
130429,577;165712;2034;169984;602628;602916;648192;768340;604950;818176;;;;;;
130443,921;166386;1170;169472;602916;603205;648192;769302;604375;817664;;;;;;
130470,878;165522;896;169984;603205;603605;648192;768727;604501;818176;;;;;;
130569,353;165760;992;169984;603605;603836;648192;769365;604828;818176;;;;;;
130587,533;165856;1617;170496;603836;604261;648192;769692;605878;818688;;;;;;
130606,266;166993;960;169984;604261;604804;648192;771254;605764;818176;;;;;;
130624,478;166336;1556;171008;604804;605029;648192;771140;606585;819200;;;;;;
130635,637;167956;896;170496;605029;605421;648192;772985;606317;818688;;;;;;
130652,204;167296;2133;171008;605421;605653;648192;772717;607786;819200;;;;;;
130688,023;169045;2560;171008;605653;605972;648192;774698;608532;819200;;;;;;
130716,255;169472;1681;171008;605972;607149;648192;775444;608830;819200;;;;;;
130743,929;168593;1151;171008;607149;607437;648192;775742;608588;819200;;;;;;
130798,580;168063;736;171008;607437;607988;648192;775500;608724;819200;;;;;;
130850,884;167648;912;171008;607988;608316;648192;775636;609228;819200;;;;;;
130871,973;167824;704;171520;608316;608668;648192;776140;609372;819712;;;;;;
130939,509;168128;656;171008;608668;608964;648192;776796;609620;819200;;;;;;
130971,182;168080;1938;171520;608964;609100;648192;777044;611038;819712;;;;;;
130976,837;169874;800;171520;609100;609428;648192;778974;610228;819712;;;;;;
131032,240;168736;3076;170496;609428;609588;648192;778164;612664;818688;;;;;;
131048,657;169988;1120;171008;609588;610612;648192;779576;611732;819200;;;;;;
131054,844;168032;1549;171520;610612;611052;648192;778644;612601;819712;;;;;;
131089,079;168973;1185;171008;611052;611332;648192;780025;612517;819200;;;;;;
131184,670;168609;2387;171520;611332;611781;648192;779941;614168;819712;;;;;;
131215,707;170323;2832;171008;611781;612403;648192;782104;615235;819200;;;;;;
131240,343;170515;977;171008;612404;613500;648192;782919;614477;819200;;;;;;
131262,962;167889;4088;171008;613500;614244;648192;781389;618332;819200;;;;;;
131282,937;171000;1888;169984;614244;615011;648192;785244;616899;818176;;;;;;
131297,977;167776;3908;169984;615011;615579;648192;782787;619487;818176;;;;;;
131305,417;169796;2064;169984;615579;616612;648192;785375;618676;818176;;;;;;
131310,892;166928;1328;169984;616612;617051;648192;783540;618379;818176;;;;;;
131320,701;166192;1184;170496;617051;617579;648192;783243;618763;818688;;;;;;
131326,757;167072;976;170496;617579;617939;648192;784651;618915;818688;;;;;;
131360,464;166864;704;170496;617939;618211;648192;784803;618915;818688;;;;;;
131403,736;166592;816;170496;618211;618451;648192;784803;619267;818688;;;;;;
131446,535;166704;2822;170496;618451;618628;648192;785155;621450;818688;;;;;;
131462,896;168710;3136;170496;618628;619155;648192;787338;622291;818688;;;;;;
131489,850;169024;1040;170496;619155;620435;648192;788179;621475;818688;;;;;;
131504,974;166928;993;170496;620435;620820;648192;787363;621813;818688;;;;;;
131566,118;95316;592;170496;620820;621091;648192;716136;621683;818688;;;;;;
131566,131;592;0;170496;621091;548364;648192;621683;548364;818688;189514;185368;786432;811197;733732;1605120
131608,101;165888;1666;170496;548364;548365;648192;714252;550031;818688;;;;;;
131636,370;167554;1167;171008;548365;548493;648192;715919;549660;819200;;;;;;
131670,878;168079;512;171008;548493;549196;648192;716572;549708;819200;;;;;;
131692,356;167424;992;171008;549196;549380;648192;716620;550372;819200;;;;;;
131714,301;167904;4092;171008;549380;549938;648192;717284;554030;819200;;;;;;
131733,713;171004;963;169984;549938;550979;648192;720942;551942;818176;;;;;;
131795,465;166851;1154;170496;550979;551274;648192;717830;552428;818688;;;;;;
131806,812;167042;1872;170496;551274;551690;648192;718316;553562;818688;;;;;;
131829,453;167760;1423;170496;551690;552107;648192;719450;553530;818688;;;;;;
131863,775;167311;4080;167936;552107;554700;648192;719418;558780;816128;;;;;;
131914,298;167920;3476;167424;554700;555884;648192;722620;559360;815616;;;;;;
131931,277;167316;1171;169472;555884;557060;648192;723200;558231;817664;;;;;;
131959,638;164499;1281;168960;557060;557340;648192;721559;558621;817152;;;;;;
131998,614;164609;832;169472;557340;557964;648192;721949;558796;817664;;;;;;
132023,640;164672;784;169472;557964;558428;648192;722636;559212;817664;;;;;;
132065,408;164624;704;169984;558428;558708;648192;723052;559412;818176;;;;;;
132096,273;165568;800;169984;558708;559036;648192;724276;559836;818176;;;;;;
132136,714;165664;965;170496;559036;559444;648192;724700;560409;818688;;;;;;
132162,954;166341;2869;169984;559444;559620;648192;725785;562489;818176;;;;;;
132170,165;168245;3445;169984;559620;559908;648192;727865;563353;818176;;;;;;
132187,722;168309;2160;169984;559908;560980;648192;728217;563140;818176;;;;;;
132230,617;167024;3380;168960;560980;561669;648192;728004;565049;817152;;;;;;
132293,659;167220;928;169472;561669;562796;648192;728889;563724;817664;;;;;;
132334,279;164768;2548;169984;562796;562996;648192;727564;565544;818176;;;;;;
132367,021;167412;3907;168960;562996;563444;648192;730408;567351;817152;;;;;;
132385,069;168771;1370;169472;563444;564684;648192;732215;566054;817664;;;;;;
132396,232;165210;1216;169472;564684;565155;648192;729894;566371;817664;;;;;;
132438,151;165056;965;169984;565155;565892;648192;730211;566857;818176;;;;;;
132508,147;165829;3310;168448;565892;566164;648192;731721;569474;816640;;;;;;
132527,960;168174;1407;169984;566164;567019;648192;734338;568426;818176;;;;;;
132538,525;165759;3568;169472;567019;567619;648192;732778;571187;817664;;;;;;
132587,961;167920;1744;169984;567619;568827;648192;735539;570571;818176;;;;;;
132658,480;166096;1056;169472;568827;569010;648192;734923;570066;817664;;;;;;
132680,972;165408;1008;169984;569010;569419;648192;734418;570427;818176;;;;;;
132712,621;165872;3333;169984;569419;569715;648192;735291;573048;818176;;;;;;
132775,195;168197;1045;169984;569715;570763;648192;737912;571808;818176;;;;;;
132802,882;165909;2964;169984;570763;570979;648192;736672;573943;818176;;;;;;
132835,337;167828;5093;167936;570979;571632;648192;738807;576725;816128;;;;;;
132863,805;167909;3888;166912;571632;572739;648192;739541;576627;815104;;;;;;
132895,086;166704;960;168960;572739;574050;648192;739443;575010;817152;;;;;;
132927,950;163264;3236;168448;574050;574242;648192;737314;577478;816640;;;;;;
132948,038;165540;1862;168960;574242;575461;648192;739782;577323;817152;;;;;;
132974,476;164678;1988;168960;575461;575773;648192;740139;577761;817152;;;;;;
132999,782;164804;2464;169472;575773;576205;648192;740577;578669;817664;;;;;;
133022,241;166304;1408;169472;576205;577189;648192;742509;578597;817664;;;;;;
133045,561;165248;960;169984;577189;577725;648192;742437;578685;818176;;;;;;
133079,553;165312;3044;169472;577725;578254;648192;743037;581298;817664;;;;;;
133152,199;167396;3678;168960;578254;578966;648192;745650;582644;817152;;;;;;
133204,303;167518;3135;169472;578966;579981;648192;746484;583116;817664;;;;;;
133231,593;166975;1343;169472;579981;581045;648192;746956;582388;817664;;;;;;
133259,580;165183;5604;169472;581045;581890;648192;746228;587494;817664;;;;;;
133268,575;169444;1761;167424;581890;583457;648192;751334;585218;815616;;;;;;
133281,849;163553;1168;168448;583457;583778;648192;747010;584946;816640;;;;;;
133290,726;162960;1155;168960;583778;584347;648192;746738;585502;817152;;;;;;
133376,968;163254;2675;168448;584347;584531;648192;747601;587206;816640;;;;;;
133399,013;164979;3969;168960;584531;585391;648192;749510;589360;817152;;;;;;
133403,837;166785;1280;168960;585391;586431;648192;752176;587711;817152;;;;;;
133412,693;164096;1074;168960;586431;587175;648192;750527;588249;817152;;;;;;
133420,692;163877;1162;168960;587176;587576;648192;751053;588738;817152;;;;;;
133434,829;163978;3348;168448;587576;588022;648192;751554;591370;816640;;;;;;
133447,037;166164;1024;168960;588022;588910;648192;754186;589934;817152;;;;;;
133460,223;163840;1184;169472;588910;589214;648192;752750;590398;817664;;;;;;
133477,493;165024;2668;169472;589214;589487;648192;754238;592155;817664;;;;;;
133496,181;166508;1056;169472;589487;590430;648192;755995;591486;817664;;;;;;
133506,284;164896;3903;169472;590430;590870;648192;755326;594773;817664;;;;;;
133511,785;167743;1258;169472;590870;591927;648192;758613;593185;817664;;;;;;
133526,044;165098;800;169472;591927;592142;648192;757025;592942;817664;;;;;;
133542,061;164640;3631;169472;592142;592414;648192;756782;596045;817664;;;;;;
133548,348;167471;993;169472;592414;593495;648192;759885;594488;817664;;;;;;
133583,520;164833;2864;169472;593495;593718;648192;758328;596582;817664;;;;;;
133641,807;166704;1296;169472;593718;595094;648192;760422;596390;817664;;;;;;
133659,853;165136;2688;169984;595094;595198;648192;760230;597886;818176;;;;;;
133713,506;167040;672;169472;595198;596376;648192;762238;597048;817664;;;;;;
133729,180;165024;1265;169984;596376;596648;648192;761400;597913;818176;;;;;;
133762,165;166129;1057;169984;596648;596960;648192;762777;598017;818176;;;;;;
133793,430;165921;1602;170496;596960;597337;648192;762881;598939;818688;;;;;;
133813,829;166978;976;169984;597337;597560;648192;764315;598536;818176;;;;;;
133839,835;166352;960;170496;597560;597881;648192;763912;598841;818688;;;;;;
133873,418;166848;944;170496;597881;598128;648192;764729;599072;818688;;;;;;
133888,037;166832;860;171008;598128;598353;648192;764960;599213;819200;;;;;;
133899,314;167772;1034;171008;598353;598544;648192;766125;599578;819200;;;;;;
133919,663;167946;1297;171520;598544;598697;648192;766490;599994;819712;;;;;;
133949,055;168721;1851;171008;598697;598808;648192;767418;600659;819200;;;;;;
133957,393;169275;944;171520;598808;599273;648192;768083;600217;819712;;;;;;
133989,268;168880;3571;171520;599273;600160;648192;768153;603731;819712;;;;;;
134014,140;171507;3332;168448;600160;600935;648192;771667;604267;816640;;;;;;
134024,915;168196;1024;169984;600935;602015;648192;769131;603039;818176;;;;;;
134037,172;165888;3012;169472;602015;602223;648192;767903;605235;817664;;;;;;
134044,410;167876;1997;169984;602223;602903;648192;770099;604900;818176;;;;;;
134066,452;166861;1891;170496;602903;603928;648192;769764;605819;818688;;;;;;
134084,238;167779;3441;170496;603928;604207;648192;771707;607648;818688;;;;;;
134107,168;169329;1408;170496;604207;605207;648192;773536;606615;818688;;;;;;
134120,216;167296;1120;170496;605207;605743;648192;772503;606863;818688;;;;;;
134145,289;167008;3947;169472;605743;606255;648192;772751;610202;817664;;;;;;
134159,343;168811;2771;169984;606255;607375;648192;775066;610146;818176;;;;;;
134179,821;167635;1436;169984;607375;607704;648192;775010;609140;818176;;;;;;
134186,611;166300;963;169984;607704;608191;648192;774004;609154;818176;;;;;;
134225,218;165827;3524;169472;608191;608488;648192;774018;612012;817664;;;;;;
134233,835;168388;3508;168448;608488;609104;648192;776876;612612;816640;;;;;;
134248,101;168372;2016;169984;609104;610640;648192;777476;612656;818176;;;;;;
134259,543;166368;1232;169472;610640;611576;648192;777008;612808;817664;;;;;;
134298,592;165545;608;169984;611576;612280;648192;777121;612888;818176;;;;;;
134324,823;165472;799;169984;612280;612568;648192;777752;613367;818176;;;;;;
134356,647;165663;913;170496;612568;612976;648192;778231;613889;818688;;;;;;
134385,175;166289;801;169984;612976;613255;648192;779265;614056;818176;;;;;;
134410,651;166177;1569;170496;613255;613488;648192;779432;615057;818688;;;;;;
134438,709;167457;928;170496;613488;613872;648192;780945;614800;818688;;;;;;
134472,830;166816;4427;169472;613872;614120;648192;780688;618547;817664;;;;;;
134500,007;169291;912;169984;614120;615335;648192;783411;616247;818176;;;;;;
134548,458;165776;1009;170496;615335;615615;648192;781111;616624;818688;;;;;;
134588,765;166385;832;169984;615615;615919;648192;782000;616751;818176;;;;;;
134605,359;166208;576;170496;615919;616215;648192;782127;616791;818688;;;;;;
134617,565;166464;880;170496;616215;616567;648192;782679;617447;818688;;;;;;
134631,380;166768;1725;171008;616567;616672;648192;783335;618397;819200;;;;;;
134659,122;168125;672;170496;616672;617199;648192;784797;617871;818688;;;;;;
134665,879;167072;859;171008;617199;617503;648192;784271;618362;819200;;;;;;
134717,995;167771;1008;171008;617503;617592;648192;785274;618600;819200;;;;;;
134751,490;167920;960;171520;617592;617935;648192;785512;618895;819712;;;;;;
134803,145;168896;1632;171520;617935;618263;648192;786831;619895;819712;;;;;;
134815,624;169568;1220;171520;618263;618655;648192;787831;619875;819712;;;;;;
134832,879;169156;1270;171520;618655;618976;648192;787811;620246;819712;;;;;;
134940,808;169206;1156;172032;618976;619375;648192;788182;620531;820224;;;;;;
134978,165;170116;3044;172032;619375;621726;648192;789491;624770;820224;;;;;;
135009,772;172004;848;169984;621726;622933;648192;793730;623781;818176;;;;;;
135034,086;167760;3744;171008;622933;623373;648192;790693;627117;819200;;;;;;
135046,640;170656;1408;169984;623373;624580;648192;794029;625988;818176;;;;;;
135061,741;167296;3152;169472;624580;625776;648192;791876;628928;817664;;;;;;
135080,245;169040;4003;168960;625776;627337;648192;794816;631340;817152;;;;;;
135131,330;167843;2674;169472;627337;629596;648192;795180;632270;817664;;;;;;
135168,113;46886;320;169984;629596;630171;648192;676482;630491;818176;;;;;;
135168,126;320;0;169984;630171;551401;648192;630491;551401;818176;186252;185131;786432;816743;736532;1604608
135199,652;164864;5090;169984;551401;552689;648192;716265;557779;818176;;;;;;
135215,294;169954;1314;166912;552689;554089;648192;722643;555403;815104;;;;;;
135234,630;163106;5901;167936;554089;554409;648192;717195;560310;816128;;;;;;
135271,722;167693;1184;167936;554409;555632;648192;722102;556816;816128;;;;;;
135303,380;161952;1320;167936;555632;556073;648192;717584;557393;816128;;;;;;
135330,289;162088;1045;168448;556073;556160;648192;718161;557205;816640;;;;;;
135347,788;162325;4415;167936;556160;556289;648192;718485;560704;816128;;;;;;
135368,057;165695;1056;167936;556289;557816;648192;721984;558872;816128;;;;;;
135416,197;161824;3313;167936;557816;558177;648192;719640;561490;816128;;;;;;
135442,079;164081;3567;168448;558177;558530;648192;722258;562097;816640;;;;;;
135459,537;165359;832;168448;558530;559576;648192;723889;560408;816640;;;;;;
135512,066;162624;3539;168448;559576;559937;648192;722200;563476;816640;;;;;;
135530,738;165331;898;168448;559937;561176;648192;725268;562074;816640;;;;;;
135590,946;162690;896;168448;561176;561424;648192;723866;562320;816640;;;;;;
135618,844;162688;1471;168448;561424;561720;648192;724112;563191;816640;;;;;;
135675,991;163263;4950;167936;561720;561992;648192;724983;566942;816128;;;;;;
135683,760;166742;4068;165888;561992;562767;648192;728734;566835;814080;;;;;;
135698,462;165860;1392;168448;562767;564135;648192;728627;565527;816640;;;;;;
135755,071;162672;1567;167936;564135;564560;648192;726807;566127;816128;;;;;;
135770,966;162847;2166;168960;564560;564920;648192;727407;567086;817152;;;;;;
135781,494;164470;5224;167936;564920;565264;648192;729390;570488;816128;;;;;;
135793,769;167528;3009;168448;565264;566640;648192;732792;569649;816640;;;;;;
135802,756;164289;976;167936;566640;567248;648192;730929;568224;816128;;;;;;
135820,029;162256;1279;168960;567248;567416;648192;729504;568695;817152;;;;;;
135855,348;163583;848;168448;567416;567783;648192;730999;568631;816640;;;;;;
135901,990;163152;6143;165888;567783;569000;648192;730935;575143;814080;;;;;;
135946,143;165887;3428;167424;569000;570148;648192;734887;573576;815616;;;;;;
136035,350;163172;2384;167936;570148;571212;648192;733320;573596;816128;;;;;;
136059,450;162640;1152;167424;571212;571916;648192;733852;573068;815616;;;;;;
136072,259;161408;3556;167936;571916;572180;648192;733324;575736;816128;;;;;;
136090,521;164324;2368;167936;572180;573180;648192;736504;575548;816128;;;;;;
136118,276;163072;968;168448;573180;573924;648192;736252;574892;816640;;;;;;
136141,761;162760;3555;168448;573924;574324;648192;736684;577879;816640;;;;;;
136181,168;165347;3332;168448;574324;575003;648192;739671;578335;816640;;;;;;
136195,101;165124;864;168448;575003;576219;648192;740127;577083;816640;;;;;;
136239,884;162656;6649;166400;576219;576745;648192;738875;583394;814592;;;;;;
136389,548;166393;4032;167424;576745;577466;648192;743138;581498;815616;;;;;;
136660,316;163776;880;167424;577466;578960;648192;741242;579840;815616;;;;;;
136867,279;160624;1720;167424;578960;579184;648192;739584;580904;815616;;;;;;
136895,663;161464;5782;165888;579184;579185;648192;740648;584967;814080;;;;;;
136900,880;164502;3926;166912;579185;579536;648192;743687;583462;815104;;;;;;
136928,317;122861;7665;163328;579535;581067;648192;702396;588732;811520;;;;;;
136928,335;7665;0;163328;581067;560980;648192;588732;560980;811520;185309;185108;786432;774041;746088;1597952
136972,745;155648;946;165376;560980;560980;648192;716628;561926;813568;;;;;;
