Time(S);YoungBefore(KB);YoungAfter(KB);YoungAllocated(KB);OldBefore(KB);OldAfter(KB);OldAllocated(KB);OldYoungBefore(KB);OldYoungAfter(KB);OldYoungAllocated(KB);PermBefore(KB);PermAfter(KB);PermAllocated(KB);TotalBefore(KB);TotalAfter(KB);TotalAllocated(KB)
8452,729;177664;3763;177152;238280;238281;349696;415944;242044;526848;;;;;;
8499,063;176819;1024;178688;238281;239435;349696;415100;240459;528384;;;;;;
8831,987;169472;4533;168448;239435;239690;349696;408907;244223;518144;;;;;;
8950,657;168373;6700;169984;239690;240662;349696;408063;247362;519680;;;;;;
9210,676;166444;6848;162816;240662;242511;349696;407106;249359;512512;;;;;;
9846,272;162496;4373;160256;242511;244519;349696;405007;248892;509952;;;;;;
10209,341;155903;4944;156672;244518;246062;349696;400421;251006;506368;;;;;;
10305,000;87661;7894;161792;246063;247220;349696;333724;255114;511488;;;;;;
10305,021;7894;0;161792;247220;243549;349696;255114;243549;511488;179944;179649;786432;435058;423198;1297920
10560,008;149504;5027;162304;243549;243549;349696;393053;248576;512000;;;;;;
10614,067;154531;4195;163328;243549;244453;349696;398080;248648;513024;;;;;;
10647,560;155235;848;162816;244453;245464;349696;399688;246312;512512;;;;;;
10652,960;151888;384;163328;245464;245680;349696;397352;246064;513024;;;;;;
10734,189;151936;2916;163328;245680;245840;349696;397616;248756;513024;;;;;;
10744,478;154468;2116;164352;245840;246424;349696;400308;248540;514048;;;;;;
10759,305;155204;993;163840;246424;246903;349696;401628;247896;513536;;;;;;
10774,961;154081;4764;164864;246903;247224;349696;400984;251988;514560;;;;;;
10787,508;158876;2032;164352;247224;248001;349696;406100;250033;514048;;;;;;
10986,549;155944;2481;165376;248002;248473;349696;403946;250954;515072;;;;;;
11018,265;157587;3755;164864;248473;249270;349696;406060;253025;514560;;;;;;
11042,753;158891;735;165888;249270;250065;349696;408161;250800;515584;;;;;;
11052,829;157407;672;165888;250065;250321;349696;407472;250993;515584;;;;;;
11062,260;157344;576;166400;250321;250416;349696;407665;250992;516096;;;;;;
11088,517;158272;608;166400;250416;250512;349696;408688;251120;516096;;;;;;
11496,089;158304;1427;166912;250512;250625;349696;408816;252052;516608;;;;;;
11522,559;43150;6420;164864;250625;251328;349696;293775;257748;514560;;;;;;
11522,570;6420;0;164864;251328;242812;349696;257748;242812;514560;180051;179762;786432;437799;422574;1300992
11608,733;158208;3381;166400;242812;242812;349696;401020;246193;516096;;;;;;
11642,527;160565;2851;165888;242812;243339;349696;403377;246190;515584;;;;;;
11684,326;160035;1169;166912;243339;244270;349696;403374;245439;516608;;;;;;
11693,023;159889;1469;166912;244270;244510;349696;404159;245979;516608;;;;;;
11718,086;160189;1809;167936;244510;244893;349696;404699;246702;517632;;;;;;
11736,301;162065;1456;167424;244893;245214;349696;406958;246670;517120;;;;;;
11766,788;161712;1088;168448;245214;245485;349696;406926;246573;518144;;;;;;
11802,832;162368;2192;167936;245485;245917;349696;407853;248109;517632;;;;;;
11866,785;163472;1486;168960;245917;246077;349696;409389;247563;518656;;;;;;
11903,032;164302;2952;168960;246077;246737;349696;410379;249689;518656;;;;;;
11910,845;165768;2032;169472;246737;247317;349696;412505;249349;519168;;;;;;
11927,790;165360;2815;168960;247317;247624;349696;412677;250439;518656;;;;;;
11941,277;166143;897;169472;247624;248423;349696;413767;249320;519168;;;;;;
11955,681;164737;3035;169472;248423;248519;349696;413160;251554;519168;;;;;;
12042,407;166875;640;169472;248519;249075;349696;415394;249715;519168;;;;;;
12127,260;164480;1603;169472;249075;249363;349696;413555;250966;519168;;;;;;
12149,730;165443;720;169984;249363;249555;349696;414806;250275;519680;;;;;;
12197,073;165584;2239;169984;249555;249756;349696;415139;251995;519680;;;;;;
12231,737;167103;3772;168960;249756;250222;349696;416859;253994;518656;;;;;;
12243,321;167612;3912;169472;250222;250924;349696;417834;254836;519168;;;;;;
12261,618;167694;1680;169472;250924;251703;349696;418618;253383;519168;;;;;;
12294,525;165520;4665;168960;251703;252332;349696;417223;256997;518656;;;;;;
12315,394;168505;3971;168960;252332;253156;349696;420837;257127;518656;;;;;;
12328,577;166787;896;168960;253156;253960;349696;419943;254856;518656;;;;;;
12378,029;163712;1184;168960;253960;254248;349696;417672;255432;518656;;;;;;
12404,451;164000;4465;167424;254248;254613;349696;418248;259078;517120;;;;;;
12415,861;167281;4004;168448;254613;255635;349696;421894;259639;518144;;;;;;
12466,093;165796;1328;168448;255635;256521;349696;421431;257849;518144;;;;;;
12508,297;163120;6167;166400;256521;256705;349696;419641;262872;516096;;;;;;
12519,276;165911;3795;167424;256705;258174;349696;422616;261969;517120;;;;;;
12532,711;163539;864;167936;258174;259032;349696;421713;259896;517632;;;;;;
12539,959;161120;3797;167424;259032;259281;349696;420152;263078;517120;;;;;;
12557,243;164053;4285;166912;259281;259913;349696;423334;264198;516608;;;;;;
12575,804;164029;6652;166400;259913;260950;349696;423942;267602;516096;;;;;;
12583,017;166396;4099;166912;260950;262132;349696;427346;266231;516608;;;;;;
12604,639;162589;2758;166912;262132;263115;349696;424721;265873;516608;;;;;;
12628,744;161478;4792;167424;263115;263659;349696;424593;268451;517120;;;;;;
12641,816;164536;800;160768;263659;264558;349696;428195;265358;510464;;;;;;
12652,342;160544;1700;167424;264558;264694;349696;425102;266394;517120;;;;;;
12677,455;160932;2327;166912;264694;265079;349696;425626;267406;516608;;;;;;
12687,787;161559;3060;167936;265079;266040;349696;426638;269100;517632;;;;;;
12714,928;163316;848;167424;266040;266608;349696;429356;267456;517120;;;;;;
12748,274;161104;1072;167936;266608;266952;349696;427712;268024;517632;;;;;;
12774,848;161840;5698;166912;267925;268206;349696;429765;273904;516608;;;;;;
12783,010;166466;6025;166400;268210;269291;349696;434676;275316;516096;;;;;;
12800,512;164745;4632;166912;269291;270799;349696;434036;275431;516608;;;;;;
12821,995;163352;991;166912;270799;271474;349696;434151;272465;516608;;;;;;
12855,917;159711;4164;166912;271474;271994;349696;431185;276158;516608;;;;;;
12902,448;162884;944;166912;271994;272956;349696;434878;273900;516608;;;;;;
12948,575;159664;3732;166912;272956;273364;349696;432620;277096;516608;;;;;;
